folder,file
abundance,abundance
biomass,biomass.CTFSdb
demogchange,abund.fit.CTFS
demogchange,demogChange
growth,growth
growth,growthfit.bin
growth,growthfit.graph
map,map
map,mapresponse
mortality,mortality
recruitment,recruitment
spatial,block.analysis
spatial,NeighborDensityFun
spatial,quadfunc
spatial,RipUvK
speciesarea,spparea
startCTFS,startCTFS
topography,imageJ
topography,slope
topography,solvetopo
utilities,calcalpha
utilities,distributions
utilities,geometry
utilities,lmerBayes
utilities,modelBayes
utilities,statistics
utilities,utilities
utilities,utilitiesCTFS
